РУС	Unnamed: 1
автобус	автобус
автобусе	автобуска
активный	идекпейлиг
анна	анна
аптека	аптека
аптеку	аптека
аэропорт	аэропорт
аэропортке	аэропортка
бабушка	кырган-авай
базар	базар
базовое	үндезин
базовой	баазалыг
базовые	үндезин
белый	ак
билет	билет
билета	билет
билеты	билеттер
благодарность	өөрүп четтириишкин
болезни	аарыглар
болезнь	аарыг
болел	аарып турган
болела	аарып турган
болело	аарып турган
болен	аарыг
болит	аарып тур
больница	эмнелге
больницу	эмнелге
больной	аарыг кижи
большая	улуг
большие	улуг
большое	улуг
большой	улуг
болят	аарып тур
брат	акы
братья	алышкылар
будем	болур бис
будет	болур
будете	болур силер
будешь	болур сен
буду	болур мен
будущего	келир үениң
будущее	келир үе
будущем	келир үеде
был	турган
было	турган
важны	чугула
вам	силерге
вариант	арга
вас	силерни
вежливость	эвилең-ээлдек чорук
вежливые	эвилең-ээлдек
верх	үстү
весна	час
весной	чазын
ветер	хат
вечер	кежээ
вечерние	кежээки
вечерний	кежээки
вечером	кежээ
вещей	эт-сеп
вещи	эт-сеп
виды	хевирлер
визит	аян-чорук
вместо	орнунга
внешности	даштыкы хевирлери
внешность	даштыкы хевири
внимание	кичээнгей
вода	суг
воду	суг
воды	суглар
возраст	назын
возраста	назы-хар
возрасте	назы-хар
вокзал	вокзал
вокзале	вокзалга
вокзалче	вокзалче
волк	бөрү
волки	бөрүлер
вопрос	айтырыг
вопросительная	айтырыглыг
вопросительное	айтырыглыг
вопросительные	айтырыглыг
вопросов	айтырыглар
вопросы	айтырыглар
врач	эмчи
врача	эмчи
врачом	эмчи
врачу	эмчиге
времен	үелерниң
времена	үелер
временах	үелер
времени	үе
время	үе
всегда	кезээде
вставать	турар
встаю	тур мен
всходить	үнер
вторник	вторникте
второй	ийи дугаары
вчера	дүүн
вчерашнем	дүүнгү
выбери	шилип ал
выживания	дириг арттар
выражение	илередиг
высокая	бедик
высокий	бедик
гармонии	аяннажылга
глагол	кылыг сөзү
глагола	кылыг сөзүнүң
глаголов	кылыг сөстериниң
глаголом	кылыг сөзү-биле
глаголы	кылыг сөстери
глаз	карак
глаза	карактар
гласные	ажык үннер
гласными	ажык үннер-биле
гласных	ажык үннер
глухих	кулаа дыңнавас
года	чылда
голова	баш
города	хоорайлар
горячий	изиг
гостиница	аалчылар бажыңы
гостинице	аалчылар бажыңынга
гостиницу	аалчылар бажыңы
гостиницы	аалчылар бажыңнары
группе	бөлүкке
группой	бөлүк-биле
группы	бөлүктер
гуляем	агаарлап тур бис
гуляешь	агаарлаар сен
гуляли	агаарлап чордувус
гулять	агаарлаар
гуляю	агаарлап тур мен
гуляют	агаарлаар
дайте	бериңер
дар	белек
девочка	уруг
девочки	уруглар
девушка	кыс
дедушка	кырган-ачай
действия	хөделиишкиннер
дела	ажыл-херек
делает	кылып турар
делаешь	кылып тур сен
делах	ажыл-херек
день	хүн
деньги	акша
дети	уруглар
диалог	чугаа
дикие	черлик
дне	дүвүнге
дневной	хүндүскү
дневные	хүндүскү
дней	хүннер
днем	хүндүс
дни	хүннер
дня	хүннер
добавлением	немээри-биле
добавляется	немежир
доброе	эки
добрый	биче сеткилдиг
дождь	чаъс
дом	бажың
дома	бажыңнар
домашние	бажың
достопримечательности	онзагай черлер
друга	эжиниң
дует	үрүп тур
дул	үрүп турган
дым	ыш
дыр	үттер
еда	чем
еде	чемге
едем	чоруп ор бис
едете	чоруп ор силер
едешь	чоруп ор сен
едим	чип тур бис
единственного	чаңгыс
едите	чемнениңер
едой	чем-биле
еду	чем
едят	чиир
ежедневные	хүн бүрүнүң
ездил	чораан
ели	шивилер
если	бир эвес
